"Name","Pos","Team","Oppt","DK.points","DK.salary"
"Henry Burris","QB","Ott","x","23.418","10400"
"Jeremiah Johnson","RB","BC","x","17.38","7500"
"William Powell","RB","Ott","x","16.543","2500"
"Derel Walker","WR","Edm","x","21.15","8600"
"Luke Tasker","WR","Ham","x","16.417","8200"
"Emmanuel Arceneaux","WR","BC","x","14.947","7900"
"Tiger-Cats ","Def","Ham","x","11.944","4700"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"","","","","121.799","49800"
